id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.documents,ethz.relation.hasPart,ethz.relation.isDocumentedBy,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"117897","20.500.11850/3","Walpen, Nicolas||Schroth, Martin Herbert||Sander, Michael",,,"2017-06-12T08:25:19Z","2017-06-12T08:25:19Z","2016-06",,,,,,"0013-936X||1520-5851",,"10.1021/acs.est.6b01120","http://hdl.handle.net/20.500.11850/117930","en","American Chemical Society",,,,,"Quantification of Phenolic Antioxidant Moieties in Dissolved Organic Matter by Flow-Injection Analysis with Electrochemical Detection","Journal Article","Metadata only",,,"2017-06-12T08:30:55Z",,"pub:179860",,"yes",,,,,,,,,,"imp593654831c54c75266","000033453","84975466020",,"000378469900037","Environ. Sci. Technol.","12","Environmental Science & Technology","50","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Received 4 March 2016, Revised 17 May 2016, Accepted 26 May 2016, Published online 26 May 2016.","6432","6423","Washington, DC","published",,,,,,,,,,,"2017-07-12T13:48:45Z","2023-02-06T13:26:07Z","true",,"ECIT",,,
"117891","20.500.11850/3","Chu, Chiheng||Erickson, Paul R.||Lundeen, Rachel A.||Stamatelatos, Dimitrios||Alaimo, Peter J.||Latch, Douglas E.||McNeill, Kristopher",,,"2017-06-12T08:24:48Z","2017-06-12T08:24:48Z","2016-06",,,,,,"0013-936X||1520-5851",,"10.1021/acs.est.6b01291","http://hdl.handle.net/20.500.11850/117924","en","American Chemical Society",,,,,"Photochemical and Nonphotochemical Transformations of Cysteine with Dissolved Organic Matter","Journal Article","Metadata only",,,"2017-06-12T08:30:55Z",,"pub:179854",,"yes",,,,,,,,,,"imp59365482eeb3562222","000033453","84975485372",,"000378469900030","Environ. Sci. Technol.","12","Environmental Science & Technology","50","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Published online 12 May 2016.","6373","6363","Washington, DC","published",,,,,,,,,,,"2017-07-12T20:16:08Z","2023-02-06T13:26:03Z","true",,"ECIT",,,
"114096","20.500.11850/3","Mystakidis, Stefanos||Davin, Edouard Léopold||Gruber, Nicolas||Seneviratne, Sonia I.",,,"2017-06-12T02:35:11Z","2017-06-12T02:35:11Z","2016-06",,,,,,"1354-1013||1365-2486",,"10.1111/gcb.13217","http://hdl.handle.net/20.500.11850/114129","en","Wiley-Blackwell",,,,"CMIP5 projections||Emergent constraints||Evaluation||Evapotranspiration||Gross primary productivity||Net biome productivity||Terrestrial carbon cycle","Constraining future terrestrial carbon cycle projections using observation-based water and carbon flux estimates","Journal Article","Metadata only",,,"2017-06-12T02:35:32Z",,"pub:175901",,"yes",,,,,,,,,,"imp593654379b0f445022",,"84959860330",,"000378721700016","Glob. Chang. Biol.","6","Global Change Biology","22","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","03731||03778","03731||03778","Published online 8 March 2016.","2215","2198","Oxford","published",,,,,,,,,,"true","2017-07-15T00:09:22Z","2022-03-28T14:44:55Z","true",,"ECIT",,,
"322710","20.500.11850/3","Capelli, Achille||Kapil, Jagdish C.||Reiweger, Ingrid||Or, Dani||Schweizer, Jürg",,,"2019-12-04T14:49:31Z","2017-06-12T01:47:39Z||2019-12-04T14:49:31Z","2016-05","2016-01-29","Monitoring acoustic emissions (AE) prior to imminent failure is considered a promising technique for assessing snow slope instability. Gaps in elastic wave propagation characteristics in snow hinder quantitative interpretation of AE signals. Our study focuses on characterizing the propagation of acoustic reference signals in the ultrasonic range across cylindrical snow samples with varying density (240–450 kg m− 3). We deduced the acoustic attenuation coefficient within snow by performing experiments with different column lengths to eliminate possible influences of the snow-sensor coupling. The attenuation coefficient was measured for the entire burst signal and for single frequency components in the range of 8 to 35 kHz. The acoustic wave propagation speed, calculated from the travel time of the acoustic signal, varied between 300 m s− 1 and 950 m s− 1, depending on the density and hardness of snow. From the sound speed we also estimated the Young's modulus of our snow samples; the values of the modulus ranged from 30 to 340 MPa for densities between 240 and 450 kg m− 3. In addition, we modeled the sound propagation for our experimental setup using Biot's model for wave propagation in a porous medium. The model results were in good agreement with our experimental results and suggest that our acoustic signals consisted of Biot's slow and fast waves. Our results can be used to improve the identification and localization of acoustic emission sources within snow in view of assessing snow slope instability.","application/pdf","10.3929/ethz-b-000113590",,"0165-232X||1872-7441",,"10.1016/j.coldregions.2016.01.004","http://hdl.handle.net/20.500.11850/113590","en","Elsevier",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Mechanical properties of snow||Snow acoustics||Acoustic emissions||Elastic modulus||Sound propagation","Speed and attenuation of acoustic waves in snow: Laboratory experiments and modeling with Biot's theory","Journal Article","Open access",,,"2017-06-12T01:51:36Z",,"pub:175287",,"yes",,,,,,,,,,"imp5936542ac517165604","000005946","84957887961",,"000374710400001","Cold reg. sci. technol.",,"Cold Regions Science and Technology","125","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812",,"11","1","Amsterdam","published",,,,,,,,,,,"2017-07-12T14:00:09Z","2021-02-15T06:56:56Z","true",,"ECIT",,"publishedVersion",
"118251","20.500.11850/3","Cheung, William W. L.||Frölicher, Thomas L.||Asch, Rebecca G.||Jones, Miranda C.||Pinsky, Malin L.||Reygondeau, Gabriel||Rodgers, Keith B.||Rykaczewski, Ryan R.||Sarmiento, Jorge L.||Stock, Charles||Watson, James R.",,,"2017-06-12T08:57:08Z","2017-06-12T08:57:08Z","2016-05",,,,,,"1054-3139||1095-9289",,"10.1093/icesjms/fsv250","http://hdl.handle.net/20.500.11850/118284","en","Oxford University Press",,,,"Climate change||Fisheries||Marine resources||Multi-model ensembles||Projection||Uncertainty","Building confidence in projections of the responses of living marine resources to climate change","Journal Article","Metadata only",,,"2017-06-12T08:59:02Z",,"pub:180233",,"yes",,,,,,,,,,"imp5936548a1180221665","005843790","84991449453",,"000378640100003",,"5","ICES Journal of Marine Science","73","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"1296","1283","Oxford","published",,,,,,,,,,,"2017-07-12T22:44:11Z","2018-11-02T23:40:59Z","true",,"ECIT",,,
"266417","20.500.11850/3","Nothstein, Alexandra K.||Eiche, Elisabeth||Riemann, Michael||Nick, Peter||Winkel, Lenny H.E.||Göttlicher, Jörg||Steininger, Ralph||Brendel, Rita||Von Brasch, Matthias||Konrad, Gabriele||Neumann, Thomas",,,"2018-11-29T10:16:15Z","2017-06-12T06:29:07Z||2018-11-29T10:16:15Z","2016-04-26",,"Up to 1 billion people are affected by low intakes of the essential nutrient selenium (Se) due to low concentrations in crops. Biofortification of this micronutrient in plants is an attractive way of increasing dietary Se levels. We investigated a promising method of Se biofortification of rice seedlings, as rice is the primary staple for 3 billion people, but naturally contains low Se concentrations. We studied hydroponic Se uptake for 0–2500 ppb Se, potential phyto-toxicological effects of Se and the speciation of Se along the shoots and roots as a function of added Se species, concentrations and other nutrients supplied. We found that rice germinating directly in a Se environment increased plant-Se by factor 2–16, but that nutrient supplementation is required to prevent phyto-toxicity. XANES data showed that selenite uptake mainly resulted in the accumulation of organic Se in roots, but that selenate uptake resulted in accumulation of selenate in the higher part of the shoot, which is an essential requirement for Se to be transported to the grain. The amount of organic Se in the plant was positively correlated with applied Se concentration. Our results indicate that biofortification of seedlings with selenate is a successful method to increase Se levels in rice.","application/pdf","10.3929/ethz-b-000116727",,"1932-6203",,"10.1371/journal.pone.0152081","http://hdl.handle.net/20.500.11850/116727","en","Public Library of Science",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Tracking Se Assimilation and Speciation through the Rice Plant - Nutrient Competition, Toxicity and Distribution","Journal Article","Open access",,,"2017-06-12T06:34:08Z",,"pub:178611",,"yes",,,,,,,,,,"imp5936546b35d2797101","006206116","84977279793",,"000374973600014","PLoS ONE","4","PLoS ONE","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03933 - Winkel, Lenny / Winkel, Lenny","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03933 - Winkel, Lenny / Winkel, Lenny","03933","03933",,,"e0152081","San Francisco, CA, USA","published",,,,,,,,,,,"2017-07-18T17:51:52Z","2023-02-06T16:38:42Z","true","15 p.","ECIT",,"publishedVersion",
"261285","20.500.11850/3","Böhm, Alex||Arnoldini, Markus||Bergmiller, Tobias||Röösli, Thomas||Bigosch, Colette||Ackermann, Martin",,,"2018-10-31T16:50:15Z","2017-06-12T05:37:31Z||2018-10-31T16:50:15Z","2016-04-19",,"In bacteria, replicative aging manifests as a difference in growth or survival between the two cells emerging from division. One cell can be regarded as an aging mother with a decreased potential for future survival and division, the other as a rejuvenated daughter. Here, we aimed at investigating some of the processes involved in aging in the bacterium Escherichia coli, where the two types of cells can be distinguished by the age of their cell poles. We found that certain changes in the regulation of the carbohydrate metabolism can affect aging. A mutation in the carbon storage regulator gene, csrA, leads to a dramatically shorter replicative lifespan; csrA mutants stop dividing once their pole exceeds an age of about five divisions. These old-pole cells accumulate glycogen at their old cell poles; after their last division, they do not contain a chromosome, presumably because of spatial exclusion by the glycogen aggregates. The new-pole daughters produced by these aging mothers are born young; they only express the deleterious phenotype once their pole is old. These results demonstrate how manipulations of nutrient allocation can lead to the exclusion of the chromosome and limit replicative lifespan in E. coli, and illustrate how mutations can have phenotypic effects that are specific for cells with old poles. This raises the question how bacteria can avoid the accumulation of such mutations in their genomes over evolutionary times, and how they can achieve the long replicative lifespans that have recently been reported.","application/pdf","10.3929/ethz-b-000116133",,"1553-7390||1553-7404",,"10.1371/journal.pgen.1005974","http://hdl.handle.net/20.500.11850/116133","en","Public Library of Science (PLoS)",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Genetic Manipulation of Glycogen Allocation Affects Replicative Lifespan in E. coli","Journal Article","Open access",,,"2017-06-12T05:44:40Z",,"pub:177989",,"yes",,,,,,,,,,"imp59365460c0d2d32709","005410305","84964799466",,"000375231900025","PLoS Genet","4","PLoS Genetics","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","03743","03743",,,"e1005974","San Francisco, CA","published",,,,,,,,,,,"2017-07-26T20:06:48Z","2021-02-15T02:21:31Z","true","17 p.","ECIT",,"publishedVersion",
"116038","20.500.11850/3","Shigemitsu, Masahito||Gruber, Nicolas||Oka, Akira||Yamanaka, Yasuhiro",,,"2017-06-12T05:29:58Z","2017-06-12T05:29:58Z","2016-04",,,,,,"0886-6236||1944-9224",,"10.1002/2015GB005297","http://hdl.handle.net/20.500.11850/116071","en","Cambridge University Press",,,,,"Potential use of the N2/Ar ratio as a constraint on the oceanic fixed nitrogen loss","Journal Article","Metadata only",,,"2017-06-12T05:34:08Z",,"pub:177925",,"yes",,,,,,,,,,"imp5936545f610e651723","005935523","84965155558",,"000376268000003","Glob. biogeochem. cycles","4","Global Biogeochemical Cycles","30","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"594","576","Cambridge","published",,,,,,,,,,,"2017-07-18T12:26:54Z","2021-02-14T14:12:52Z","true",,"ECIT",,,
"116048","20.500.11850/3","Carter, Brendan R.||Frölicher, Thomas L.||Dunne, John P.||Rodgers, Keith B.||Slater, Richard D.||Sarmiento, Jorge L.",,,"2017-06-12T05:30:47Z","2017-06-12T05:30:47Z","2016-04",,,,,,"0886-6236||1944-9224",,"10.1002/2015GB005308","http://hdl.handle.net/20.500.11850/116081","en","American Geophysical Union",,,,,"When can ocean acidification impacts be detected from decadal alkalinity measurements?","Journal Article","Metadata only",,,"2017-06-12T05:34:08Z",,"pub:177935",,"yes",,,,,,,,,,"imp5936545f9a32983201","000041178","84965117222",,"000376268000004","Glob. biogeochem. cycles","4","Global Biogeochemical Cycles","30","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731","Received 16 October 2015, Accepted 13 April 2016, Accepted article online 18 April 2016, Published online 30 April 2016. Published online by: Wiley.","612","595","Washington, DC","published",,,,,,,,,,,"2017-07-13T15:18:00Z","2021-02-14T14:12:58Z","true",,"ECIT",,,
"236117","20.500.11850/10","Papritz, Andreas Jürg",,,"2018-05-23T13:13:31Z","2017-06-12T04:02:54Z||2018-01-10T11:06:25Z||2018-05-23T13:13:31Z","2016-04",,,"application/pdf","10.3929/ethz-b-000115052",,"1029-7006||1607-7962",,,"http://hdl.handle.net/20.500.11850/115052","en","Copernicus Publications",,"Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"3D-Digital soil property mapping by geoadditive models","Other Conference Item","Open access",,,"2017-06-12T04:08:34Z",,"pub:176866",,"yes","EGU General Assembly 2016","April 17-22, 2016","Vienna, Austria",,,,,,,"imp5936544bb123770813","004804476",,,,"GRA",,"Geophysical Research Abstracts","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Poster presented on 20 April 2016.",,"EGU2016-16089","Katlenburg-Lindau","published",,,,,,,,,,,"2017-07-13T09:05:01Z","2021-02-15T00:06:26Z","true","1 p.","ECIT",,"publishedVersion",
"116407","20.500.11850/5","Gruber, Nicolas",,,"2017-06-12T05:59:10Z","2017-06-12T05:59:10Z","2016-04",,,,,,"0027-8424||1091-6490",,"10.1073/pnas.1603646113","http://hdl.handle.net/20.500.11850/116440","en","National Academy of Sciences",,,,,"Elusive marine nitrogen fixation","Other Journal Item","Metadata only",,,"2017-06-12T06:05:21Z",,"pub:178309",,"yes",,,,,,,,,,"imp593654659915f18213","001003347",,,"000374393800027","Proc Natl Acad Sci U S A","16","Proceedings of the National Academy of Sciences of the United States of America","113","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"4248","4246","Washington, DC","published",,,,,,,,,,,"2017-07-14T19:06:34Z","2022-03-28T14:55:13Z","true",,"ECIT",,,
"391548","20.500.11850/3","Mitrano, Denise||Limpiteeprakan, Pawena||Babel, Sandhya||Nowack, Bernd",,,"2021-02-18T16:37:10Z","2021-02-17T10:15:36Z||2021-02-18T16:37:10Z","2016-04-01","2016-03-14","By taking a life cycle approach to study the potential for silver nanoparticle (AgNP) release from functionalized textiles, we can estimate the relative importance of different phases to the release of Ag over time. Alongside the fastness of the AgNPs during the use phase (e.g. washing), we further explored the release potential of NPs from fabrics disposed of in a landfill (i.e. the end of life stage). Three different laboratory-prepared nano-enhanced fabrics (60 nm and 100 nm citrate-capped Ag as reactive particles; 60 nm citrate-capped Au as a non-reactive control) were subjected to 1 or 10 washing cycles under different laundering conditions (detergents with and without oxidants). The total metal released varied significantly depending on NP incorporation and the washing pattern variant. Au served to contrast the mechanical release of NPs with the (additional) chemical release the detergents induced to the Ag textiles, where the Ag : Au ratio released from the fabric was as high as 3, suggesting more predominant chemical mechanisms for silver release in those cases. Textile disposal was simulated by the Toxicity Characteristic Leaching Procedure (TCLP), where pre-laundered fabrics were subjected to this sequential exposure. The results show that the active landfill environment cannot readily mobilize the NPs from the fabric surface as easily after washing compared to unwashed textiles. Without washing, simulated landfilling released between 35–45% of the total Ag incorporated into the fabric (and only 20% of Au), but after laundering, most variants released less than 0.5%. Therefore, larger releases of NPs from textiles were observed during the use phase of the life cycle rather than the disposal phase, where an important portion of the released NP was in the dissolved phase. Large variations in releases at the end of life stage are determined under pre-washing conditions, which proves the necessity of life-cycle aging sequences to properly assess the likelihood and characteristics of materials released from nano-enhanced textiles. © The Royal Society of Chemistry 2016.",,,,"2051-8153||2051-8161",,"10.1039/c6en00023a","http://hdl.handle.net/20.500.11850/469947","en","Royal Society of Chemistry",,,,,"Durability of nano-enhanced textiles through the life cycle: releases from landfilling after washing","Journal Article","Metadata only",,,"2021-02-17T10:15:46Z",,,,"yes",,,,,,,,,,,,,,,"Environ. Sci.: Nano","2","Environmental Science: Nano","3","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09717 - Mitrano, Denise M. / Mitrano, Denise M.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09717 - Mitrano, Denise M. / Mitrano, Denise M.","09717","09717",,"387","375","Cambridge","published",,,,,,,,,,,"2021-02-18T16:37:22Z","2022-03-29T05:17:45Z","true",,"FORM",,,
"113311","20.500.11850/3","Cheung, William W.L.||Jones, Miranda C.||Reygondeau, Gabriel||Stock, Charles A.||Lam, Vicky W.Y.||Frölicher, Thomas L.",,,"2017-06-12T01:27:00Z","2017-06-12T01:27:00Z","2016-04",,,,,,"0304-3800||1872-7026||0167-8892",,"10.1016/j.ecolmodel.2015.12.018","http://hdl.handle.net/20.500.11850/113344","en","Elsevier",,,,"Dynamic Bioclimate Envelope Model||Climate change||Uncertainty||Habitat suitability||MAXENT||AquaMaps","Structural uncertainty in projecting global fisheries catches under climate change","Journal Article","Metadata only",,,"2017-06-12T01:34:23Z",,"pub:175035",,"yes",,,,,,,,,,"imp59365425c8d0145355","000023941","84957597660",,"000371944400006","Ecol. Model.",,"Ecological Modelling","325","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731","Published online 5 February 2016.","66","57","Amsterdam","published",,,,,,,,,,,"2017-07-13T12:22:25Z","2023-02-06T13:17:17Z","true",,"ECIT",,,
"115261","20.500.11850/3","Armanious, Antonius||Münch, Melanie||Kohn, Tamar||Sander, Michael",,,"2017-06-12T04:23:40Z","2017-06-12T04:23:40Z","2016-04",,,,,,"0013-936X||1520-5851",,"10.1021/acs.est.5b05726","http://hdl.handle.net/20.500.11850/115294","en","American Chemical Society",,,,,"Competitive Coadsorption Dynamics of Viruses and Dissolved Organic Matter to Positively Charged Sorbent Surfaces","Journal Article","Metadata only",,,"2017-06-12T04:26:09Z",,"pub:177119",,"yes",,,,,,,,,,"imp593654509099113963","000033453","84964194271",,"000373655800036","Environ. Sci. Technol.","7","Environmental Science & Technology","50","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Published online 22 February 2016.","3606","3597","Washington, DC","published",,,,,,,,,,,"2017-07-13T14:23:29Z","2023-02-06T13:20:39Z","true",,"ECIT",,,
